timeOpen,Close,Open,High,Low,volume,Chg.(%)
2021/6/3,39187.30 ,37555.70 ,39462.30 ,37193.60 ,106.44K,0.04 
2021/6/2,37555.80 ,36687.70 ,38199.90 ,35981.10 ,96.89K,0.02 
2021/6/1,36687.60 ,37294.30 ,37850.30 ,35742.70 ,113.48K,(0.02)
2021/5/31,37298.60 ,35644.00 ,37480.70 ,34213.20 ,131.70K,0.05 
2021/5/30,35652.80 ,34589.30 ,36388.60 ,33441.00 ,104.18K,0.03 
2021/5/29,34584.60 ,35664.50 ,37227.10 ,33664.20 ,160.43K,(0.03)
2021/5/28,35662.50 ,38543.20 ,38844.10 ,34772.40 ,199.58K,(0.07)
2021/5/27,38417.30 ,39249.00 ,40322.20 ,37190.80 ,122.93K,(0.02)
2021/5/26,39249.20 ,38375.70 ,40750.00 ,37847.00 ,153.80K,0.02 
2021/5/25,38378.30 ,38753.60 ,39740.80 ,36540.70 ,163.01K,(0.01)
2021/5/24,38750.60 ,34720.30 ,39851.70 ,34474.60 ,244.88K,0.12 
2021/5/23,34679.70 ,37446.80 ,38248.70 ,31192.40 ,325.73K,(0.07)
2021/5/22,37448.30 ,37291.00 ,38776.00 ,35314.90 ,185.83K,0.00 
2021/5/21,37297.40 ,40611.20 ,42108.30 ,33592.30 ,315.50K,(0.08)
2021/5/20,40717.20 ,36706.80 ,42425.90 ,35010.40 ,269.75K,0.11 
2021/5/19,36720.50 ,42898.30 ,43516.60 ,30261.70 ,607.10K,(0.14)
2021/5/18,42897.30 ,43538.50 ,45770.90 ,42293.90 ,154.96K,(0.01)
2021/5/17,43541.30 ,46424.20 ,46545.40 ,42201.50 ,274.76K,(0.06)
2021/5/16,46426.40 ,46729.30 ,49764.30 ,43920.80 ,180.07K,(0.01)
2021/5/15,46708.80 ,49839.10 ,50640.90 ,46650.20 ,131.91K,(0.06)
2021/5/14,49839.80 ,49704.90 ,51459.20 ,48874.00 ,118.84K,0.00 
2021/5/13,49704.60 ,49398.20 ,51337.30 ,46331.10 ,236.71K,0.01 
2021/5/12,49384.20 ,56694.50 ,57938.50 ,49187.00 ,160.74K,(0.13)
2021/5/11,56695.70 ,55846.10 ,56871.10 ,54550.40 ,96.47K,0.02 
